series,sewer,episode,result
8,Gill,3,NA
8,Angela,3,NA
8,Marni,3,NA
8,Steve,3,NA
8,Richy,3,Eliminated
8,Annie,4,NA
8,Brogan,4,NA
8,Debra,4,NA
8,Man Yee,4,NA
8,Cristian,4,NA
8,Gill,4,Garment of the week
8,Angela,4,NA
8,Marni,4,NA
8,Steve,4,Eliminated
8,Annie,5,NA
8,Brogan,5,NA
8,Debra,5,Garment of the week
8,Man Yee,5,NA
8,Cristian,5,NA
8,Gill,5,NA
8,Angela,5,NA
8,Marni,5,Eliminated
8,Annie,6,Garment of the week
8,Brogan,6,NA
8,Debra,6,NA
8,Man Yee,6,NA
8,Cristian,6,NA
8,Gill,6,NA
8,Angela,6,Eliminated
8,Annie,7,NA
8,Brogan,7,NA
8,Debra,7,NA
8,Man Yee,7,Garment of the week
8,Cristian,7,NA
8,Gill,7,Eliminated
8,Annie,8,Garment of the week
8,Brogan,8,NA
8,Debra,8,NA
8,Man Yee,8,NA
8,Cristian,8,Eliminated
8,Annie,9,Garment of the week
8,Brogan,9,NA
8,Debra,9,NA
8,Man Yee,9,NA
8,Cristian,9,NA
8,Gill,9,NA
8,Angela,9,NA
8,Marni,9,NA
8,Steve,9,NA
8,Richy,9,NA
8,Chichi,9,NA
8,Mitch,9,NA
8,Annie,10,Winner
8,Brogan,10,Runner-up
8,Debra,10,Runner-up
8,Man Yee,10,Runner-up
9,Asmaa,1,NA
9,Mia,1,NA
9,Tony R,1,NA
9,Vicki,1,NA
9,Lauren,1,NA
9,Lizzie,1,NA
9,Fauve,1,NA
9,Tony W,1,Garment of the week
9,Matthew,1,NA
9,Maria,1,NA
9,Gillie,1,NA
9,Catherine,1,Eliminated
9,Asmaa,2,NA
9,Mia,2,Garment of the week
9,Tony R,2,NA
9,Vicki,2,NA
9,Lauren,2,NA
9,Lizzie,2,NA
9,Fauve,2,NA
9,Tony W,2,NA
9,Matthew,2,NA
9,Maria,2,NA
9,Gillie,2,Eliminated
9,Asmaa,3,NA
9,Mia,3,NA
9,Tony R,3,NA
9,Vicki,3,NA
9,Lauren,3,NA
9,Lizzie,3,Garment of the week
9,Fauve,3,NA
9,Tony W,3,NA
9,Matthew,3,NA
9,Maria,3,Eliminated
9,Asmaa,4,NA
9,Mia,4,Garment of the week
9,Tony R,4,NA
9,Vicki,4,NA
9,Lauren,4,NA
9,Lizzie,4,NA
9,Fauve,4,NA
9,Tony W,4,NA
9,Matthew,4,Eliminated
9,Asmaa,5,NA
9,Mia,5,NA
9,Tony R,5,NA
9,Vicki,5,NA
9,Lauren,5,NA
9,Lizzie,5,NA
9,Fauve,5,Garment of the week
9,Tony W,5,Eliminated
9,Asmaa,6,NA
9,Mia,6,NA
9,Tony R,6,Garment of the week
9,Vicki,6,NA
9,Lauren,6,NA
9,Lizzie,6,NA
9,Fauve,6,Eliminated
9,Asmaa,7,Garment of the week
9,Mia,7,NA
9,Tony R,7,NA
9,Vicki,7,NA
9,Lauren,7,NA
9,Lizzie,7,Eliminated
9,Asmaa,8,Garment of the week
9,Mia,8,NA
9,Tony R,8,NA
9,Vicki,8,NA
9,Lauren,8,Eliminated
9,Asmaa,9,Garment of the week
9,Mia,9,NA
9,Tony R,9,NA
9,Vicki,9,Eliminated
9,Asmaa,10,Winner
9,Mia,10,Runner-up
9,Tony R,10,Runner-up
10,Luke,1,NA
10,Ailsa,1,NA
10,Pascha,1,NA
10,Suzy,1,Garment of the week
10,Alex,1,NA
10,Marcus,1,NA
10,Georgie,1,NA
10,Lauren,1,NA
10,Don,1,NA
10,Janet,1,NA
10,Comfort,1,NA
10,Neil,1,Eliminated
10,Luke,2,NA
10,Ailsa,2,NA
10,Pascha,2,NA
10,Suzy,2,NA
10,Alex,2,NA
10,Marcus,2,NA
10,Georgie,2,Garment of the week
10,Lauren,2,NA
10,Don,2,NA
10,Janet,2,NA
10,Comfort,2,Eliminated
10,Luke,3,NA
10,Ailsa,3,Garment of the week
10,Pascha,3,NA
10,Suzy,3,NA
10,Alex,3,NA
10,Marcus,3,NA
10,Georgie,3,NA
10,Lauren,3,NA
10,Don,3,NA
10,Janet,3,Eliminated
10,Luke,4,NA
10,Ailsa,4,NA
10,Pascha,4,NA
10,Suzy,4,NA
10,Alex,4,Garment of the week
10,Marcus,4,NA
10,Georgie,4,NA
10,Lauren,4,NA
10,Don,4,Eliminated
10,Luke,5,NA
10,Ailsa,5,Garment of the week
10,Pascha,5,NA
10,Suzy,5,NA
10,Alex,5,NA
10,Marcus,5,NA
10,Georgie,5,NA
10,Lauren,5,Eliminated
10,Luke,6,NA
10,Ailsa,6,NA
10,Pascha,6,Garment of the week
10,Suzy,6,NA
